Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h]
8.871628,-0.200000,1.000000,8.871628,31.937859
9.178984,-0.400000,1.000000,9.178984,33.044341
9.481267,-0.600000,1.000000,9.481267,34.132562
7.848403,-0.800000,1.000000,7.848403,28.254251
9.659761,-0.800000,1.000000,9.659761,34.775141
11.294362,-2.200000,1.000000,11.294362,40.659703
9.680677,-1.400000,1.000000,9.680677,34.850437
9.942610,-0.800000,1.000000,9.942610,35.793397
7.423829,-1.600000,1.000000,7.423829,26.725784
8.134353,-2.200000,1.000000,8.134353,29.283671
12.105514,-1.800000,2.000000,6.052757,21.789925
4.950395,-0.800000,1.000000,4.950395,17.821423
5.937326,-0.800000,1.000000,5.937326,21.374375
4.081073,-1.200000,1.000000,4.081073,14.691865
2.313999,-0.200000,1.000000,2.313999,8.330395
9.618621,-1.000000,2.000000,4.809310,17.313518
4.827064,-0.600000,1.000000,4.827064,17.377430
4.544959,-1.800000,1.000000,4.544959,16.361851
3.748341,-0.600000,1.000000,3.748341,13.494028
7.669557,-1.600000,2.000000,3.834779,13.805203
6.152040,-1.400000,1.000000,6.152040,22.147343
3.832762,-1.000000,1.000000,3.832762,13.797944
6.097850,-1.400000,1.000000,6.097850,21.952261
12.376435,-2.600000,2.000000,6.188218,22.277584
8.978455,-1.400000,1.000000,8.978455,32.322440
10.363896,-1.200000,1.000000,10.363896,37.310027
8.973127,-3.800000,1.000000,8.973127,32.303258
13.631637,-3.200000,1.000000,13.631637,49.073893
9.641171,-1.400000,1.000000,9.641171,34.708217
13.899514,-2.800000,1.000000,13.899514,50.038251
10.041522,-3.600000,1.000000,10.041522,36.149481
14.151609,-2.000000,1.000000,14.151609,50.945794
21.821002,-2.400000,2.000000,10.910501,39.277804
15.126000,-2.200000,1.000000,15.126000,54.453599
12.797985,-2.200000,1.000000,12.797985,46.072747
9.975439,-1.600000,1.000000,9.975439,35.911582
14.384824,-1.600000,1.000000,14.384824,51.785368
22.116413,-2.200000,2.000000,11.058206,39.809543
13.753848,-2.400000,1.000000,13.753848,49.513853
15.622969,-2.000000,1.000000,15.622969,56.242687
10.810947,-5.400000,1.000000,10.810947,38.919409
11.477797,-2.800000,1.000000,11.477797,41.320068
9.136903,-0.400000,2.000000,4.568451,16.446425
5.047011,-0.600000,2.000000,2.523505,9.084619
3.118178,-0.200000,1.000000,3.118178,11.225439
3.175511,0.000000,6.000000,0.529252,1.905306
3.118180,0.200000,4.000000,0.779545,2.806362
3.111761,0.000000,1.000000,3.111761,11.202340
3.176938,0.200000,2.000000,1.588469,5.718489
3.175516,0.000000,1.000000,3.175516,11.431859
3.810916,-2.200000,46.000000,0.082846,0.298246
3.111767,0.000000,1.000000,3.111767,11.202360
4.393352,0.000000,1.000000,4.393352,15.816069
4.210451,-0.200000,1.000000,4.210451,15.157624
8.350282,1.400000,2.000000,4.175141,15.030508
861.746647,258.000000,276.000000,3.122270,11.240174
0.214118,-0.200000,1.000000,0.214118,0.770825
0.128567,0.000000,1.000000,0.128567,0.462843
21.718721,-0.600000,141.000000,0.154033,0.554521
5.165596,-1.000000,1.000000,5.165596,18.596146
5.130630,-0.800000,1.000000,5.130630,18.470270
5.103269,-0.600000,1.000000,5.103269,18.371768
5.067873,0.000000,2.000000,2.533937,9.122172
5.257692,-1.400000,43.000000,0.122272,0.440179
5.217834,-1.600000,1.000000,5.217834,18.784203
9.365944,-4.200000,1.000000,9.365944,33.717398
9.382653,-4.800000,1.000000,9.382653,33.777549
8.498103,-1.800000,1.000000,8.498103,30.593172
8.765996,-3.400000,1.000000,8.765996,31.557587
8.648281,-2.400000,1.000000,8.648281,31.133813
8.625873,-3.400000,1.000000,8.625873,31.053141
8.531772,-2.400000,1.000000,8.531772,30.714378
8.637880,-3.400000,1.000000,8.637880,31.096369
9.317331,-4.600000,1.000000,9.317331,33.542393
8.995883,-4.400000,1.000000,8.995883,32.385179
7.208516,-2.400000,1.000000,7.208516,25.950656
8.938368,-3.600000,1.000000,8.938368,32.178126
11.175753,-2.000000,1.000000,11.175753,40.232710
13.751505,-3.800000,1.000000,13.751505,49.505417
14.439714,-5.000000,1.000000,14.439714,51.982971
14.437026,-2.600000,1.000000,14.437026,51.973293
13.342147,-2.200000,1.000000,13.342147,48.031728
12.594781,-0.400000,1.000000,12.594781,45.341212
12.824415,-1.400000,1.000000,12.824415,46.167894
22.962220,-2.000000,2.000000,11.481110,41.331997
8.416705,-0.800000,1.000000,8.416705,30.300139
6.330187,-0.600000,1.000000,6.330187,22.788672
3.207400,-0.200000,1.000000,3.207400,11.546638
7.675557,-0.200000,2.000000,3.837778,13.816002
8.977003,0.000000,5.000000,1.795401,6.463442
9.011037,0.000000,2.000000,4.505519,16.219867
8.943213,-0.600000,77.000000,0.116146,0.418124
8.958846,-0.800000,1.000000,8.958846,32.251847
8.836596,-0.600000,1.000000,8.836596,31.811744
9.110515,-1.000000,1.000000,9.110515,32.797852
9.220282,-1.800000,1.000000,9.220282,33.193014
8.486680,-2.200000,1.000000,8.486680,30.552049
7.174662,-2.000000,1.000000,7.174662,25.828782
4.684170,-1.200000,1.000000,4.684170,16.863011
3.167948,-0.800000,1.000000,3.167948,11.404614
7.960315,-0.800000,1.000000,7.960315,28.657133
6.595812,-0.200000,3.000000,2.198604,7.914974
6.655079,-0.400000,6.000000,1.109180,3.993047
7.162726,-2.800000,12.000000,0.596894,2.148818
6.882585,-1.800000,1.000000,6.882585,24.777308
5.781316,-1.600000,1.000000,5.781316,20.812737
6.719945,-0.800000,1.000000,6.719945,24.191803
6.477282,-2.400000,1.000000,6.477282,23.318214
5.268340,-1.400000,1.000000,5.268340,18.966023
5.259596,-1.600000,1.000000,5.259596,18.934545
13.191550,-1.200000,2.000000,6.595775,23.744790
7.193573,-1.600000,1.000000,7.193573,25.896864
7.653447,-3.000000,1.000000,7.653447,27.552410
6.988677,-0.800000,1.000000,6.988677,25.159236
7.274610,-0.600000,1.000000,7.274610,26.188597
7.236649,-1.400000,1.000000,7.236649,26.051935
11.191240,-1.800000,2.000000,5.595620,20.144232
2.656785,-0.600000,1.000000,2.656785,9.564425
1.653927,-1.200000,1.000000,1.653927,5.954137
1.204351,-0.200000,1.000000,1.204351,4.335664
2.245772,-0.200000,1.000000,2.245772,8.084779
2.558189,-0.200000,1.000000,2.558189,9.209482
5.970602,-1.000000,2.000000,2.985301,10.747083
1.477896,-0.400000,1.000000,1.477896,5.320424
1.432651,-0.600000,1.000000,1.432651,5.157544
1.653646,-0.400000,1.000000,1.653646,5.953127
4.274625,-0.600000,2.000000,2.137313,7.694326
2.459784,-0.800000,1.000000,2.459784,8.855222
7.233770,-0.400000,3.000000,2.411257,8.680524
5.033097,-0.200000,1.000000,5.033097,18.119148
4.931158,-0.200000,5.000000,0.986232,3.550433
5.682759,-2.600000,6.000000,0.947126,3.409655
5.412211,-2.000000,1.000000,5.412211,19.483960
7.496820,-2.800000,1.000000,7.496820,26.988553
7.885866,-2.200000,1.000000,7.885866,28.389116
9.131082,-4.400000,1.000000,9.131082,32.871896
8.489818,-2.600000,1.000000,8.489818,30.563344
9.791523,-1.000000,1.000000,9.791523,35.249485
12.568669,-4.000000,1.000000,12.568669,45.247209
13.622270,-5.200000,1.000000,13.622270,49.040172
11.932458,-5.000000,1.000000,11.932458,42.956849
12.033278,-2.800000,1.000000,12.033278,43.319800
13.446313,-3.000000,1.000000,13.446313,48.406725
12.803298,-3.400000,1.000000,12.803298,46.091871
12.148646,-3.000000,1.000000,12.148646,43.735125
