GOS3,Gütsch,010100002008080000A1E1FF7FC88444419D0F000024D23141,4
GAD2,Gschletteregg,01010000200808000089EAFF7F3C6544411A06000067F73141,121
DAV1,Chrachenhorn,0101000020080800001EF0FF7F0539454154D4FFFF38E83141,66
DTR1,Costa,01010000200808000088CFFFFFF1AB44412614000061A43141,242
SPN1,Chesselhorn,010100002008080000E8E4FFFFFD36444133DEFFFF12123141,117
LUK2,Lai Verd,01010000200808000079F5FF7F5E9F44413498FFFF4ABC3141,4
SCA3,Alpler Tor,010100002008080000C7EEFFFFB49D444128C9FFFF0C393241,187
MEI2,Laucheren,0101000020080800000BCBFF7F267C4441173B0000D3F73141,4
BOG2,Hendar Furggu,010100002008080000A6FEFFFF78714441510800007E453141,7
MUO2,Rupperslaui,0101000020080800000EF7FF7F7D98444103FEFFFF254D3241,188
FOU2,Glacier de l'Evole,010100002008080000A0EAFFFFE49D4341EAB1FFFF7FA63041,148
FIS2,Fisi,010100002008080000A6E4FFFF69F94341B7A3FFFF547F3141,222
SIM1,Cima del Simano,01010000200808000016F7FF7F29BC44411D8BFFFFD47F3141,169
FIR2,Schmidigen-Bidmeren,01010000200808000053FDFF7FA73344419E260000A7D53141,33
ENG1,Gulderstock,01010000200808000035E7FFFF04DC444158F9FFFFA3673241,99
ALB2,Teststation Albula,01010000200808000091CEFFFF013D4541EF320000BCB93141,75
LAV1,Gonda Cotschna,0101000020080800006CFFFFFFD064454185B5FFFFAB143241,164
BED4,Sabbioni,0101000020080800004FD9FFFFA374444182CDFFFFE1983141,272
LUK1,Piz Gannaretsch,01010000200808000001D5FFFFCA9F4441A0FDFFFFACBF3141,4
OTT2,Ottere,01010000200808000076D9FF7F8DE84341899BFFFFE29C3141,89
NAR2,Bassa di Nara,0101000020080800001EEAFF7F9FAC4441CCADFFFFCB833141,169
ANV1,Corne de Sorebois,0101000020080800003D02000076EC4341E028000002F43041,133
MUT1,Ruchi,01010000200808000082E8FF7F59C544419E2F0000652E3241,170
BIN4,Schapleralpa,01010000200808000095EEFF7FF2494441FD020000D94A3141,233
ELA2,Tschitta,01010000200808000047F4FF7FC12A45412AC9FFFF32BD3141,258
URS1,Gross Schijen,01010000200808000099D1FFFF6D894441A7E2FFFF5DD73141,4
SAA5,Mälliga,0101000020080800002FE7FFFF0E28444143C1FFFF6BEA3041,146
TUJ1,Crispalt,010100002008080000E6CEFF7FC59144417DE5FFFF66DE3141,4
MES1,Piz Pian Grand,0101000020080800002C020080F0D74441BB0300006D6D3141,196
SCA1,Gross Windgällen,010100002008080000E5070000F496444116C5FFFF37143241,187
SLF2,Davos Stilli (SLF),01010000200808000040FBFF7F433D454168110000771E3241,60
CHA1,La Para,010100002008080000E5DAFF7F1FAB43417098FFFFEC583141,87
MTR2,Predanass,010100002008080000A4F3FF7F3AB44441E3F5FFFF2A683141,169
FNH1,Le Luisin,01010000200808000049E5FFFF5C8F434169EAFFFF57E73041,147
EGH2,Flesch,01010000200808000003D4FFFF30384441A41C00004F683141,157
ORT2,Ortstock Matt,010100002008080000CDE3FF7F3CB8444198DDFFFF8B453241,151
TRU2,Trubelboden,0101000020080800006FD3FFFF34EC43411B94FFFF9E533141,156
ATT2,Lac des Vaux,01010000200808000048D2FF7FA4BC4341EA32000046E03041,86
ZNZ2,Pülschezza,010100002008080000FE07000080574541D0B4FFFF25EE3141,78
OBM2,Obere Meiel,0101000020080800001BEAFFFF73B4434195030000BF693141,93
MLB1,Spitz,010100002008080000FBDBFF7F301A4541B512000072933241,84
ZER4,Stafelalp,010100002008080000870A000009FE434133D7FFFFC1B13041,20
HTR2,Alp Piänetsch,010100002008080000AFF2FFFF9EDE4441C3C1FFFFD6A43141,168
PMA2,Colms da Parsonz,01010000200808000012EFFFFF4A104541DB91FFFFCAB63141,51
DAV6,Luksch Alp,010100002008080000DCE7FFFFDF434541A0E9FFFFC3113241,62
